tags: ἕρμαιον ἕρμαιον-4 conjugaison

παιδεύεσθαι (6mp)|éduquer (M), être éduqué (P)|infinitif imperfectif|voix médio-passive|παιδεύεσθαι|[*παιδεύ-ε<span class="désinence">-σθαι</span>]

λύεσθαι (6mp)|délier (M), être délié (P)|infinitif imperfectif|voix médio-passive|λύεσθαι|[*λύ-ε<span class="désinence">-σθαι</span>]


τιμᾶν (6a)|honorer|infinitif imperfectif|voix active|τιμᾶν|[*τιμά-ε<span class="désinence">-εν</span>]

τιμᾶσθαι (6mp)|honorer (M), être honoré (P)|infinitif imperfectif|voix médio-passive|τιμᾶσθαι|[*τιμά-ε<span class="désinence">-σθαι</span>]


ποιεῖν (6a)|faire|infinitif imperfectif|voix active|ποιεῖν|[*ποιέ-ε<span class="désinence">-εν</span>]

ποιεῖσθαι (6mp)|faire (M), être fait (P)|infinitif imperfectif|voix médio-passive|ποιεῖσθαι|[*ποιέ-ε<span class="désinence">-σθαι</span>]


δηλοῦν (6a)|montrer|infinitif imperfectif|voix active|δηλοῦν|[*δηλό-ε<span class="désinence">-εν</span>]

δηλοῦσθαι (6mp)|montrer (M), être montré (P)|infinitif imperfectif|voix médio-passive|δηλοῦσθαι|[*δηλό-ε<span class="désinence">-σθαι</span>]
